"Year","Average_Index"
1977,63.958
1978,68.658
1979,77.183
1980,87.583
1981,95.192
1982,97.825
1983,99.725
1984,102.442
1985,104.817
1986,103.508
1987,107.475
1988,111.825
1989,118.2
1990,126.017
1991,130.317
1992,132.758
1993,135.058
1994,136.817
1995,139.342
1996,143.517
1997,146.35
1998,146.942
1999,151.183
2000,158.15
2001,160.558
2002,161.058
2003,165.267
2004,172.158
2005,180.208
2006,186.733
2007,193.468
2008,205.901
2009,198.548
2010,205.272
2011,219.049
2012,224.621
2013,225.271
